,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
375,,,le importa,,hacerle,,,,,,,,,,,se calló
376,,,le interpeló,,hacerle,,,,,,,,,,,se casaron
377,,,le interrumpí,,hacerlo,,,,,,,,,,,se concretó
378,,,Le interrumpió,,hacerlo,,,,,,,,,,,se curó
379,,,le interrumpió,,hacerlo,,,,,,,,,,,se decidió
380,,,le interrumpió,,hacerlo,,,,,,,,,,,se defendió
381,,,le interrumpió,,hacerlo,,,,,,,,,,,se dejó
382,,,le invadió,,hacerlo,,,,,,,,,,,se demudó
383,,,le invadió,,hacerme,,,,,,,,,,,se deshizo
384,,,le juro,,hacerme,,,,,,,,,,,se deshizo
385,,,le juro,,hacerme,,,,,,,,,,,se desperdiciaron
386,,,le juro,,hacernos,,,,,,,,,,,se despertó
387,,,le juro,,hacernos,,,,,,,,,,,se despidieron
388,,,le juro,,hacernos,,,,,,,,,,,se despidió
389,,,le juzga,,hacerse,,,,,,,,,,,se detuvo
390,,,le lamía,,halagarme,,,,,,,,,,,se detuvo
391,,,le leía,,hallarse,,,,,,,,,,,se dijo
392,,,le llama,,haverme,,,,,,,,,,,se dijo
393,,,le llaman,,he de confesarle,,,,,,,,,,,se dijo
394,,,le llamas,,imaginarme,,,,,,,,,,,se dijo
395,,,le llamas,,imitarle,,,,,,,,,,,se dijo
396,,,le llebó,,impedirme,,,,,,,,,,,se dijo
397,,,le lleva,,importarle,,,,,,,,,,,se dijo
398,,,le lleva,,incomodarte,,,,,,,,,,,se dijo
399,,,le llevaba,,incriminarnos,,,,,,,,,,,se dijo
400,,,le llevara ,,indigestárseles,,,,,,,,,,,se dijo
401,,,le llevaron,,inmutarse,,,,,,,,,,,se dijo
402,,,le lleve,,insinuarle,,,,,,,,,,,se dijo
403,,,le lloraba,,insinuarle,,,,,,,,,,,se dijo
404,,,le lloraba,,inspirarle ,,,,,,,,,,,se dijo
405,,,le malea,,interrumpirle,,,,,,,,,,,se dijo
406,,,le mandé,,invadirle,,,,,,,,,,,se dijo
407,,,le mando,,irlos,,,,,,,,,,,se dijo
408,,,le martillaba,,irme,,,,,,,,,,,se dijo
409,,,le mataré,,irradiarle,,,,,,,,,,,se dijo
410,,,le miraba,,irse,,,,,,,,,,,se dijo
411,,,le miraba,,irse,,,,,,,,,,,se dijo
412,,,le miraba,,irse,,,,,,,,,,,se dijo
413,,,le miraban,,irse,,,,,,,,,,,se dijo
414,,,le miraban,,irse,,,,,,,,,,,se dijo
415,,,le miró,,irse,,,,,,,,,,,se dijo
416,,,le miró,,irte,,,,,,,,,,,se dio cuenta
417,,,le miró,,jugarme,,,,,,,,,,,se dio cuenta
418,,,le miró,,justificarme,,,,,,,,,,,se dirigió
419,,,le molesta,,ladrarnos,,,,,,,,,,,se dirigió
420,,,le molestaría,,lamerle,,,,,,,,,,,se dirigió
421,,,le molestase,,lamerle,,,,,,,,,,,se dirigió
422,,,le moteja,,latirle,,,,,,,,,,,se dirigió
423,,,le muerden,,le saca,,,,,,,,,,,se disipó
424,,,le ocurre,,leerla,,,,,,,,,,,se dispuso
425,,,le ocurría,,leerme,,,,,,,,,,,se echó
426,,,le ocurrió,,leérselo,,,,,,,,,,,se echó
427,,,le ofrecí,,levantarse,,,,,,,,,,,se echó
428,,,le ofreció,,levantarse,,,,,,,,,,,se encalmó
429,,,le ordené,,levantarse,,,,,,,,,,,se encendió
430,,,le oye,,levantarse,,,,,,,,,,,se encerró
431,,,le pagaron,,levantarse,,,,,,,,,,,se encerró
432,,,le parece,,levantarse,,,,,,,,,,,se encerró
433,,,le parece,,libertarse,,,,,,,,,,,se encontró
434,,,le parecen,,librarse,,,,,,,,,,,se encontró
435,,,le parecía,,llamarla,,,,,,,,,,,se encontró
436,,,le parecía,,llamarle,,,,,,,,,,,se encontró
437,,,le parecían,,llamarle,,,,,,,,,,,se encontró
438,,,le parezca ,,llamarle,,,,,,,,,,,se encontró
439,,,le pasa,,llamarle,,,,,,,,,,,se encontró
440,,,le pasa,,llamarle,,,,,,,,,,,se encontró
441,,,le pasa,,llamarlos,,,,,,,,,,,se encontró
442,,,le pasa,,llamarme,,,,,,,,,,,se encontró
443,,,le pasaba,,llamarme,,,,,,,,,,,se entera
444,,,le pasaba,,llamarse,,,,,,,,,,,se enterneció
445,,,le pasaba,,llevarme,,,,,,,,,,,se entretuvo
446,,,le pasará,,mandarle,,,,,,,,,,,se estuvo
447,,,le pasó,,mandarle,,,,,,,,,,,se excedió
448,,,le perdone,,mandarle,,,,,,,,,,,se fijó
449,,,le permita,,mantenerse,,,,,,,,,,,se fué
450,,,le perturbase,,marcharse,,,,,,,,,,,se fué
451,,,le pesasen,,marcharse,,,,,,,,,,,se fué
452,,,le ponderaban,,marcharte,,,,,,,,,,,se fué
453,,,le pone,,martillarle,,,,,,,,,,,se fué
454,,,le ponga,,matarle,,,,,,,,,,,se fué
455,,,le preguntaba,,matarle,,,,,,,,,,,se fué
456,,,le preguntaba,,matarme,,,,,,,,,,,se fué
457,,,le pregunte,,matarme,,,,,,,,,,,se fué
458,,,le pregunté,,matarme,,,,,,,,,,,se fué
459,,,le pregunté,,matarme,,,,,,,,,,,se fué
460,,,le pregunté,,matarme,,,,,,,,,,,se hablaron
461,,,le pregunté,,matarme,,,,,,,,,,,se hizo
462,,,le pregunté,,matarme,,,,,,,,,,,se hizo
463,,,le preguntó,,matarme,,,,,,,,,,,se hizo
464,,,le preguntó,,matarnos,,,,,,,,,,,se hizo
465,,,le preguntó,,matarse,,,,,,,,,,,se hizo
466,,,le preguntó,,matarte,,,,,,,,,,,se hizo
467,,,le preguntó,,matarte,,,,,,,,,,,se imaginó
468,,,le preguntó,,matarte,,,,,,,,,,,se incorporó
469,,,le preguntó,,matarte,,,,,,,,,,,se indignaron 
470,,,le preguntó,,matarte,,,,,,,,,,,se informó
471,,,le preguntó,,meterlo,,,,,,,,,,,se la llevó
472,,,le preguntó,,meterme,,,,,,,,,,,se la llevó
473,,,le preguntó,,meterse,,,,,,,,,,,se la llevó
474,,,le preguntó ,,meterse,,,,,,,,,,,se lavó
475,,,le produce,,mirarle,,,,,,,,,,,se lavó
476,,,le produjo,,mirarle,,,,,,,,,,,se le acercó
477,,,le puedes,,mirarle,,,,,,,,,,,se le acercó
478,,,le puso,,mirarme,,,,,,,,,,,se le atravesó
479,,,le puso,,mirarnos,,,,,,,,,,,se le borraron
480,,,le quedaban,,mirarse,,,,,,,,,,,se le derritió
481,,,le quedó,,molestarle,,,,,,,,,,,se le desencadenó
482,,,le quería,,morirme,,,,,,,,,,,se le empañaraon
483,,,le quería,,morirme,,,,,,,,,,,se le encendió
484,,,le querré,,morirme,,,,,,,,,,,se le enmudeció
485,,,le quiero,,morirme ,,,,,,,,,,,se le escapó
486,,,le quiero,,morirse,,,,,,,,,,,se le fué
487,,,le quiero,,morirse,,,,,,,,,,,se le ocurrieron
488,,,le quita,,morirse,,,,,,,,,,,se le ocurrió
489,,,le quite,,morirse,,,,,,,,,,,se le quebró
490,,,le rechazase,,morirse,,,,,,,,,,,se le quedó
491,,,le recomendaba,,morirse,,,,,,,,,,,se le quedó
492,,,le reconociese,,mostrarse,,,,,,,,,,,se le quemó
493,,,le reconquisto,,negarlo,,,,,,,,,,,Se levantó
494,,,le recorría,,negarlo,,,,,,,,,,,Se levantó
495,,,le reencaja,,ocultársela,,,,,,,,,,,se levantó
496,,,le repito,,ocurrirle,,,,,,,,,,,se levantó
497,,,le replicó,,ofenderme,,,,,,,,,,,se levantó
498,,,le repliqué,,ofrecerla,,,,,,,,,,,se levantó
499,,,le repliqué,,oírle,,,,,,,,,,,se levantó
500,,,le respondió,,oírle,,,,,,,,,,,se levantó
501,,,le resucitaría,,oírle,,,,,,,,,,,se levantó
502,,,le rezamos,,oírle,,,,,,,,,,,se llamó
503,,,le rodean,,oírle,,,,,,,,,,,se llevaron
504,,,le rogué,,oírmelo,,,,,,,,,,,se llevó
505,,,le ruego,,oírmelo,,,,,,,,,,,se lo bebió
506,,,le saludó,,oírsela,,,,,,,,,,,se lo contó
507,,,le saludó,,oírte,,,,,,,,,,,se lo demostré
508,,,le sería,,olvidarse,,,,,,,,,,,se lo dije
509,,,le servía,,olvidarse,,,,,,,,,,,se lo dije
510,,,le siguió,,olvidarse,,,,,,,,,,,se lo leyó
511,,,le sirve,,otorgarme,,,,,,,,,,,se lo pagó
512,,,le sirviesen,,pagarle,,,,,,,,,,,se lo pregunté
513,,,le solía,,palparlo,,,,,,,,,,,se lo trajo
514,,,le soy,,palparse,,,,,,,,,,,se los hubo leído
515,,,le soy,,palparse,,,,,,,,,,,se mantuvo
516,,,le subía,,parecerle,,,,,,,,,,,se mató
517,,,le subió,,pasarse,,,,,,,,,,,se me apareció
518,,,le sueñe,,pasearse,,,,,,,,,,,se me ocurrió
519,,,le suspiró,,pasearse,,,,,,,,,,,se me ocurrió
520,,,le temblaba,,pasearse,,,,,,,,,,,se me puso
521,,,le tendió,,pasearse,,,,,,,,,,,se miró
522,,,le tendió,,pedirme,,,,,,,,,,,se murió
523,,,le tenéis,,pedirse,,,,,,,,,,,se murió
524,,,le tenga,,pensarlo,,,,,,,,,,,se negó
525,,,le tengo,,pensarlo,,,,,,,,,,,se oyó
526,,,le tengo,,pensarlo,,,,,,,,,,,se oyó
527,,,le tenía,,pensarlo,,,,,,,,,,,se oyó
528,,,le tenía,,percatarse,,,,,,,,,,,se palpó
529,,,le tenía,,perderla,,,,,,,,,,,se partió
530,,,le tentó,,perderse,,,,,,,,,,,se pellizcó
531,,,le tiene,,perderse,,,,,,,,,,,se preciptió
532,,,le tiene,,perdonarle,,,,,,,,,,,se preguntó
533,,,le tienen,,perdonarle,,,,,,,,,,,se puso
534,,,le tienes,,perdonarle,,,,,,,,,,,se puso
535,,,le tiraba,,permitírsele,,,,,,,,,,,se puso
536,,,le toca,,perseguirme,,,,,,,,,,,se puso
537,,,le toca,,pervertirnos,,,,,,,,,,,se puso
538,,,le tocó,,pescarme,,,,,,,,,,,se puso
539,,,le tomaba,,ponerle,,,,,,,,,,,se quedó
540,,,le tomen,,ponerlo,,,,,,,,,,,se quedó
541,,,le tomó,,ponernos,,,,,,,,,,,Se quedó
542,,,le tomó,,ponerse,,,,,,,,,,,se quedó
543,,,le traigan,,ponerse,,,,,,,,,,,se quedó
544,,,le trajo,,ponerse,,,,,,,,,,,se quedó
545,,,le tuve,,ponerse,,,,,,,,,,,se quedó
546,,,le tuve,,ponérselo,,,,,,,,,,,se quedó
547,,,le tuvo,,ponerte,,,,,,,,,,,se quedó
548,,,le va,,posarse,,,,,,,,,,,se quedó
549,,,le va,,poseerla,,,,,,,,,,,se quedó
550,,,le vaya,,precisarse,,,,,,,,,,,se quedó
551,,,le veamos,,preguntarme,,,,,,,,,,,se quedó
552,,,le veas,,preocuparme,,,,,,,,,,,se quitó
553,,,le verás,,preocuparnos,,,,,,,,,,,se quitó
554,,,le verás,,presentarse,,,,,,,,,,,se recibió
555,,,le vi,,presentarse,,,,,,,,,,,se repuso
556,,,le viera,,pretenderla,,,,,,,,,,,se repuso
557,,,le viniera,,probarla,,,,,,,,,,,se repuso
558,,,Le volvió,,probarle,,,,,,,,,,,se retiró
559,,,le volvió,,probarle,,,,,,,,,,,se sacudió
560,,,le voy,,prolongarse,,,,,,,,,,,se salió
561,,,les adiestran,,quedarme,,,,,,,,,,,se salió
562,,,les busque,,quedarnos,,,,,,,,,,,se salió
563,,,les cae,,quedarse,,,,,,,,,,,se salió
564,,,les corresponde,,quedarse,,,,,,,,,,,se salió
565,,,les daban,,quedarse,,,,,,,,,,,se salió
566,,,les daban,,quedársela,,,,,,,,,,,se salió
567,,,les dejo,,quererme,,,,,,,,,,,se salió
568,,,les enseñan,,quererme,,,,,,,,,,,se salió
569,,,les espetara,,quererme,,,,,,,,,,,se salió
570,,,les estorbaba,,quererme,,,,,,,,,,,se salió
571,,,les faltó,,quitarle,,,,,,,,,,,se salió
572,,,les fué,,quitarnos,,,,,,,,,,,se sentó
573,,,les ha dicho,,quitárnosle,,,,,,,,,,,se sentó
574,,,les había comunicado,,quitarse,,,,,,,,,,,se sentó
575,,,les he dado,,quitarse,,,,,,,,,,,se sentó
576,,,les he de hacer,,quitárselas,,,,,,,,,,,se sentó
577,,,les he hecho,,quitarte,,,,,,,,,,,se separaron
578,,,les he oído,,rechazarme,,,,,,,,,,,se separó
579,,,les importa,,rechazarme,,,,,,,,,,,se siguió
580,,,les mate,,recibirle,,,,,,,,,,,se siguió
581,,,les ofrecen,,recibirle,,,,,,,,,,,se sintió
582,,,les pasa,,recibirme,,,,,,,,,,,se sintió
583,,,les pido ,,recobrarse,,,,,,,,,,,se sintió
584,,,les unía,,recojerse,,,,,,,,,,,se sorprendió
585,,,les visten,,reconciliarse,,,,,,,,,,,se sublevaron
586,,,lo aborrece,,recordarme,,,,,,,,,,,se suicidó
587,,,lo aborrezco,,rectificarlo,,,,,,,,,,,se suicidó
588,,,lo aceptó,,redimirle,,,,,,,,,,,se suicidó
589,,,lo adivinaba,,reírse,,,,,,,,,,,se suicidó
590,,,lo adiviné,,reírse,,,,,,,,,,,se tanteó
591,,,lo adivino,,remediarlo,,,,,,,,,,,se turbó
592,,,lo barruntó,,rendirla,,,,,,,,,,,se vieron
593,,,lo buscaré,,repartirse,,,,,,,,,,,se vino
594,,,lo buscaré,,repetirle,,,,,,,,,,,se vistió
595,,,lo colocó,,resignarme,,,,,,,,,,,se vistió
596,,,lo compré,,resignarme,,,,,,,,,,,se vistió
597,,,lo comprende,,resignarme,,,,,,,,,,,se volvió
598,,,lo comprendo,,resignarme,,,,,,,,,,,se volvió
599,,,lo conocía,,resignarse,,,,,,,,,,,se volvió
600,,,lo crea,,resignarse,,,,,,,,,,,se volvió
601,,,lo crea,,resignarse,,,,,,,,,,,siguió
602,,,lo cree,,resignarse,,,,,,,,,,,te casaste
603,,,lo creerás,,resignarse,,,,,,,,,,,te di
604,,,lo creería,,resistirme,,,,,,,,,,,te dije
605,,,lo creería,,resolverse,,,,,,,,,,,te dije
606,,,lo crees,,respetarnos,,,,,,,,,,,te dije
607,,,lo creo,,resucitarle,,,,,,,,,,,te enamoraste
608,,,lo creo,,resucitarle,,,,,,,,,,,te entró
609,,,lo creo,,resucitarlo,,,,,,,,,,,te hablé
610,,,lo creo,,resucitarlo,,,,,,,,,,,te inspiró
611,,,lo cubrían,,resucitarlo,,,,,,,,,,,te llevó
612,,,lo dejaré,,resucitarme,,,,,,,,,,,te lo dije
613,,,lo dejaré,,resucitarme,,,,,,,,,,,te miró
614,,,lo dejó,,resucitarnos,,,,,,,,,,,Te pusiste
615,,,lo deseara,,retirarme,,,,,,,,,,,te retrasaste
616,,,lo deseasteis,,retirarse,,,,,,,,,,,te sacudió
617,,,lo dice,,revestirlas,,,,,,,,,,,te tuviste
618,,,lo dice,,robarle,,,,,,,,,,,la había venido
619,,,lo diera,,robarle,,,,,,,,,,,le había
620,,,lo diga,,rogarle,,,,,,,,,,,le había dicho
621,,,lo diga,,rogarle,,,,,,,,,,,le había dicho
622,,,lo digas,,romperse,,,,,,,,,,,le había llegado
623,,,lo digo,,saberlo,,,,,,,,,,,le había salido
624,,,lo dijera,,saberlo,,,,,,,,,,,le había salido
625,,,lo dijo,,saberlo,,,,,,,,,,,le habían precedido
626,,,lo dijo,,saberlo,,,,,,,,,,,les había comunicado
627,,,lo dijo,,saberlo,,,,,,,,,,,lo había anunciado
628,,,lo diré,,saberlo,,,,,,,,,,,lo había de pensar
629,,,lo dudo,,saberse,,,,,,,,,,,me había dado
630,,,lo encuentres,,sacarle,,,,,,,,,,,me había distraído
631,,,lo enfundó,,sacrificarme,,,,,,,,,,,me habían llebado
632,,,lo entiendo,,sacrificarme,,,,,,,,,,,me mataré
633,,,lo entiendo,,sacrificarnos,,,,,,,,,,,se había acordado
634,,,lo entiendo,,sacrificase,,,,,,,,,,,se había bañado
635,,,lo envías,,salirse,,,,,,,,,,,se había escapado
636,,,lo es,,salirse,,,,,,,,,,,se había hecho
637,,,lo es,,salirse,,,,,,,,,,,se había ido
638,,,lo es,,sangrarle,,,,,,,,,,,se había ido
639,,,lo es,,seguirla,,,,,,,,,,,se había parado
640,,,lo es,,sentarse,,,,,,,,,,,se había parado
641,,,lo escribiese,,sentarse,,,,,,,,,,,se había salido
642,,,lo está,,sentarse,,,,,,,,,,,se había tenido
643,,,lo está,,sentarse,,,,,,,,,,,se había ya puetso
644,,,lo está,,sentarse,,,,,,,,,,,se le había asomado
645,,,lo están,,sentirle,,,,,,,,,,,se le había metido
646,,,lo estarán,,sentirlo,,,,,,,,,,,Se le había olvidado
647,,,lo esté,,sentirme,,,,,,,,,,,se me había olvidado
648,,,lo fué,,sentirse,,,,,,,,,,,se nos había metido
649,,,lo ha comprado,,sentirte,,,,,,,,,,,te había visto
650,,,lo ha dicho,,separarse,,5,,,,,,,,,la conozcan
651,,,lo ha dicho,,separase,,,,,,,,,,,la conozcas
652,,,lo ha engañado,,serlo,,,,,,,,,,,la despache
653,,,lo ha estado,,serlo,,,,,,,,,,,la salve
654,,,lo ha extraído,,serlo,,,,,,,,,,,le aceptes
655,,,lo ha hecho,,serlo,,,,,,,,,,,le acompañaré
656,,,lo ha visto,,serlo,,,,,,,,,,,le busque
657,,,lo había anunciado,,serlo,,,,,,,,,,,le coja
658,,,lo había de pensar,,serme,,,,,,,,,,,le conozca
659,,,lo hace,,servirle,,,,,,,,,,,le conquisten
660,,,lo hacía,,servirle,,,,,,,,,,,le cueste
661,,,lo hacía,,servirlo,,,,,,,,,,,le cueste
662,,,lo haga,,servirnos,,,,,,,,,,,le dé
663,,,lo haga,,servirse,,,,,,,,,,,le dé
664,,,lo han dejado,,sobarla,,,,,,,,,,,le dé
665,,,lo has dicho,,sobrevivirse,,,,,,,,,,,le dé
666,,,lo has dicho,,solazarse,,,,,,,,,,,le destinasen
667,,,lo has dicho,,solicitarme,,,,,,,,,,,le diga
668,,,lo has suscitado,,soltarse,,,,,,,,,,,le disgusten
669,,,lo hayamos soñado,,soñarnos,,,,,,,,,,,le distraigan
670,,,lo he,,sonreírse,,,,,,,,,,,le entre
671,,,lo he comprado,,suicidarse,,,,,,,,,,,le escriba
672,,,lo he encontrado,,suicidarse,,,,,,,,,,,le hagan
673,,,lo he oído,,suicidarse,,,,,,,,,,,le hagas caso
674,,,lo hubiera creído,,suicidarse,,,,,,,,,,,le lleve
675,,,lo hubiese,,suicidarse,,,,,,,,,,,le parezca 
676,,,lo hubiese creído,,suicidarte,,,,,,,,,,,le perdone
677,,,lo hubiese hecho,,suicidarte,,,,,,,,,,,le permita
678,,,lo intentaban,,suplicarnos,,,,,,,,,,,le ponga
679,,,lo intentara,,suponerlo,,,,,,,,,,,le quite
680,,,lo levantó,,taparse,,,,,,,,,,,le sueñe
681,,,lo niego,,tenerla,,,,,,,,,,,le tenga
682,,,lo niego,,tenerla,,,,,,,,,,,le tomen
683,,,lo niego,,tenerla,,,,,,,,,,,le traigan
684,,,lo olviden,,tenerle,,,,,,,,,,,le vaya
685,,,lo pasaremos,,tenerle,,,,,,,,,,,le veamos
686,,,lo pensó,,tenerlo,,,,,,,,,,,le veas
687,,,lo prueba,,tenerlos,,,,,,,,,,,les busque
688,,,lo puede,,tenerme,,,,,,,,,,,les mate
689,,,lo puede,,tenerme,,,,,,,,,,,lo diga
690,,,lo puedo,,tenerme,,,,,,,,,,,lo diga
691,,,lo puedo,,tirarles,,,,,,,,,,,lo digas
692,,,lo quiera,,tocarme,,,,,,,,,,,lo encuentres
693,,,lo quiera,,tomarle,,,,,,,,,,,lo esté
694,,,lo quieras,,tomarme,,,,,,,,,,,lo haga
695,,,lo quiere,,tomarse,,,,,,,,,,,lo haga
696,,,lo quiere,,tomárselas,,,,,,,,,,,lo olviden
697,,,lo recibo,,traerle,,,,,,,,,,,lo quiera
698,,,lo recojió,,traérmelo,,,,,,,,,,,lo quiera
699,,,lo reconociese,,tratarse,,,,,,,,,,,lo quieras
700,,,lo recuerdo,,tutearnos,,,,,,,,,,,lo revele
701,,,lo representa,,valerte,,,,,,,,,,,lo sean
702,,,lo revele,,venderla,,,,,,,,,,,lo sepa
703,,,lo sabe,,venderlo,,,,,,,,,,,lo valga
704,,,lo sabe,,venderme,,,,,,,,,,,los devoren
705,,,lo sabe,,venderte,,,,,,,,,,,me acueste
706,,,lo sabe,,vengarnos,,,,,,,,,,,me admita
707,,,lo sabes,,vengarse,,,,,,,,,,,me apoye
708,,,lo sabes,,vengarse,,,,,,,,,,,me bese
709,,,lo sabes,,venirnos,,,,,,,,,,,me case
710,,,lo sabes,,verla,,,,,,,,,,,me conquiste
711,,,lo sabía,,verlas,,,,,,,,,,,me conquiste
712,,,Lo sabía,,verle,,,,,,,,,,,me cuide
713,,,lo sabía,,verle,,,,,,,,,,,me dé
714,,,lo sabía,,verle,,,,,,,,,,,me dé
715,,,lo sabías,,verle,,,,,,,,,,,me dé
716,,,lo sé,,verle,,,,,,,,,,,me dedique
717,,,lo sé,,verle,,,,,,,,,,,me defienda
720,,,lo sé,,verle,,,,,,,,,,,me deje 
718,,,lo sé,,verle,,,,,,,,,,,me desgarren
719,,,lo sé ,,verle,,,,,,,,,,,me digas
721,,,lo sean,,verle,,,,,,,,,,,me discuta
722,,,lo sé,,verle,,,,,,,,,,,me distraiga
723,,,lo sentí,,verle,,,,,,,,,,,me distraigan
724,,,lo sentía,,verlo,,,,,,,,,,,me encierre
725,,,lo sentiré,,verlo,,,,,,,,,,,me entren
726,,,lo sepa,,verme,,,,,,,,,,,me estén
727,,,lo somos,,verme,,,,,,,,,,,me la perdone
728,,,lo soporta,,verme,,,,,,,,,,,me libre
729,,,lo soy,,verme,,,,,,,,,,,me lo digas
730,,,lo tenemos,,verme,,,,,,,,,,,me mantenga
731,,,lo tenemos,,verme,,,,,,,,,,,me muera
732,,,lo tengo,,vernos,,,,,,,,,,,me muera
733,,,lo tiene,,vernos,,,,,,,,,,,me muera 
734,,,lo tocaba,,vernos,,,,,,,,,,,me niegue
735,,,lo tocará,,vernos,,,,,,,,,,,me perdones
736,,,lo tomó,,veros,,,,,,,,,,,me persigne
737,,,lo valga,,verse,,,,,,,,,,,me persigue
738,,,lo veo,,verse,,,,,,,,,,,me pida
739,,,lo ves,,verse,,,,,,,,,,,me piensen
740,,,lo ves,,verse,,,,,,,,,,,me plazca
741,,,lo ves,,verse,,,,,,,,,,,me ponga
742,,,lo ves,,verse,,,,,,,,,,,me ponga
743,,,lo ves,,verte,,,,,,,,,,,me pueda
744,,,lo viera,,verterse,,,,,,,,,,,me quede
745,,,lo viera,,visitarme,,,,,,,,,,,me quiera
746,,,lo voy,,visitarme,,,,,,,,,,,me quite
747,,,los conozco,,visitaros,,,,,,,,,,,me retire
748,,,los devoren,,Vislumbrarlo,,,,,,,,,,,me revea
749,,,los exponía,,Vislumbrarlo,,,,,,,,,,,me salga
750,,,los juntó,,volverle,,,,,,,,,,,me suicide
751,,,los llevara,,volverme,,,,,,,,,,,me suicide
752,,,los llevas,,volverme,,,,,,,,,,,me suicide
753,,,los mecen,,volverse,,,,,,,,,,,me suicide
754,,,los tienes,,,,,,,,,,,,,me traigas
755,,,los tienes,,,,,,,,,,,,,me vaya
756,,,me abandonas,,,,,,,,,,,,,me vea
757,,,me abrió,,,,,,,,,,,,,me vea
758,,,me acariciaba,,,,,,,,,,,,,me vea
759,,,me acepta,,,,,,,,,,,,,me vea
760,,,me acepta,,,,,,,,,,,,,me vea
761,,,me acepta,,,,,,,,,,,,,me veles
762,,,me aceptará,,,,,,,,,,,,,me visite
763,,,me aceptará,,,,,,,,,,,,,nos casemos
764,,,me acerco,,,,,,,,,,,,,nos casemos
765,,,me acompañarás,,,,,,,,,,,,,nos casemos
766,,,me acompañarás,,,,,,,,,,,,,nos conozcamos
767,,,me acompañarás,,,,,,,,,,,,,nos consolamos
768,,,me aconsejas,,,,,,,,,,,,,nos consolemos
769,,,me acordé,,,,,,,,,,,,,nos entre
770,,,me acostumbro,,,,,,,,,,,,,nos escribamos
771,,,me acostumbro,,,,,,,,,,,,,nos esté
772,,,me acuerdo,,,,,,,,,,,,,nos expliquemos
773,,,me acuerdo,,,,,,,,,,,,,nos hablemos
774,,,me acueste,,,,,,,,,,,,,nos hablemos
775,,,me admira,,,,,,,,,,,,,nos proteja
776,,,me admita,,,,,,,,,,,,,nos quede
777,,,me admite,,,,,,,,,,,,,nos vayamos
778,,,me admitió,,,,,,,,,,,,,nos veamos
779,,,me agradan,,,,,,,,,,,,,nos veamos
780,,,me anunciaron,,,,,,,,,,,,,os maten
781,,,me apoye,,,,,,,,,,,,,os quepa
782,,,me apuras,,,,,,,,,,,,,os quepa
783,,,me arañé,,,,,,,,,,,,,se acabe
784,,,me arrebata,,,,,,,,,,,,,se acabe
785,,,me arreglan,,,,,,,,,,,,,se acueste
786,,,me arrepentí,,,,,,,,,,,,,se admire
787,,,me arrodillé,,,,,,,,,,,,,se altere
788,,,me asaltan,,,,,,,,,,,,,se aparten
789,,,me aseguraron,,,,,,,,,,,,,se arregle
790,,,me asusta,,,,,,,,,,,,,se avenga
791,,,me atengo,,,,,,,,,,,,,se burle
792,,,me atraía,,,,,,,,,,,,,se calle
793,,,me atrevo,,,,,,,,,,,,,se case
794,,,me avenía,,,,,,,,,,,,,se case
795,,,me avisara,,,,,,,,,,,,,se conozca
796,,,me ayudarás,,,,,,,,,,,,,se dé
797,,,me ayudarás,,,,,,,,,,,,,se dedique
798,,,me bese,,,,,,,,,,,,,se dedique
799,,,me brillan,,,,,,,,,,,,,se defiende
800,,,me brillan,,,,,,,,,,,,,se deposite
801,,,me buscaba,,,,,,,,,,,,,se desfigure
802,,,me cabe,,,,,,,,,,,,,se dirija
803,,,me cabe,,,,,,,,,,,,,se distraiga
804,,,me cabe,,,,,,,,,,,,,se duerman
805,,,me cabe,,,,,,,,,,,,,se ensanche
806,,,me cabía ,,,,,,,,,,,,,se espere
807,,,me carga,,,,,,,,,,,,,se esté dando
808,,,me casara,,,,,,,,,,,,,se exalte
809,,,me case,,,,,,,,,,,,,se filtre
810,,,me casé,,,,,,,,,,,,,se le antoje
811,,,me casé,,,,,,,,,,,,,se le antoje
812,,,me casé,,,,,,,,,,,,,se le llame
813,,,me casé,,,,,,,,,,,,,se les antoje
814,,,me casé,,,,,,,,,,,,,se les merme
815,,,me caso,,,,,,,,,,,,,se les muera
816,,,me caso,,,,,,,,,,,,,se llame
817,,,me cohiba,,,,,,,,,,,,,se lo diga
818,,,me comunicó,,,,,,,,,,,,,se me acerque
819,,,me conmueve,,,,,,,,,,,,,se me deje
820,,,me conocen,,,,,,,,,,,,,se me muera
821,,,me conocía,,,,,,,,,,,,,se me ocurra
822,,,me conquista,,,,,,,,,,,,,se me olvide
823,,,me conquista,,,,,,,,,,,,,se mezclen
824,,,me conquiste,,,,,,,,,,,,,se muera
825,,,me conquiste,,,,,,,,,,,,,se muera
826,,,me consolaré,,,,,,,,,,,,,se nos adelante
827,,,me contaba,,,,,,,,,,,,,se perfume
828,,,me contento,,,,,,,,,,,,,se pueda
829,,,me contestó,,,,,,,,,,,,,se quede
830,,,me contestó,,,,,,,,,,,,,se quede
831,,,me contestó,,,,,,,,,,,,,se queden
832,,,me contestó,,,,,,,,,,,,,se reduzca
833,,,me contó,,,,,,,,,,,,,se resuelva
834,,,me crees,,,,,,,,,,,,,se sacrifique
835,,,me crees,,,,,,,,,,,,,se sepa
836,,,me creí,,,,,,,,,,,,,se sepa
837,,,me creía,,,,,,,,,,,,,se suicide
838,,,me cuide,,,,,,,,,,,,,se te pase
839,,,me culpaba,,,,,,,,,,,,,se trate
